序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,688120,华海清科,3.08,10.13,1674.32,2025年1季度股票投资明细
2,688012,中微公司,2.95,8.71,1605.43,2025年1季度股票投资明细
3,688126,沪硅产业,2.95,86.29,1602.42,2025年1季度股票投资明细
4,688072,拓荆科技,2.94,10.13,1595.34,2025年1季度股票投资明细
5,688037,芯源微,2.12,11.7,1150.49,2025年1季度股票投资明细
6,688361,中科飞测,2.04,13.97,1109.83,2025年1季度股票投资明细
7,688019,安集科技,2.03,6.58,1105.74,2025年1季度股票投资明细
8,688200,华峰测控,1.56,5.91,848.45,2025年1季度股票投资明细
9,688234,天岳先进,1.43,12.51,775.63,2025年1季度股票投资明细
10,688409,富创精密,1.24,11.21,676.49,2025年1季度股票投资明细
11,688120,华海清科,10.29,15.37,2593.37,2025年2季度股票投资明细
12,688012,中微公司,9.65,13.35,2432.87,2025年2季度股票投资明细
13,688126,沪硅产业,9.64,129.82,2430.28,2025年2季度股票投资明细
14,688072,拓荆科技,8.55,14.01,2153.69,2025年2季度股票投资明细
15,688361,中科飞测,7.5,22.44,1889.17,2025年2季度股票投资明细
16,688019,安集科技,7.09,11.78,1787.67,2025年2季度股票投资明细
17,688037,芯源微,6.86,16.12,1728.04,2025年2季度股票投资明细
18,688200,华峰测控,4.66,8.14,1173.9,2025年2季度股票投资明细
19,688234,天岳先进,4.0,17.22,1008.14,2025年2季度股票投资明细
20,688082,盛美上海,4.0,8.84,1007.39,2025年2季度股票投资明细
21,688409,富创精密,3.35,15.34,843.72,2025年2季度股票投资明细
22,688981,中芯国际,2.97,8.48,747.58,2025年2季度股票投资明细
23,688106,金宏气体,2.06,28.97,518.26,2025年2季度股票投资明细
24,688652,京仪装备,1.91,8.42,482.36,2025年2季度股票投资明细
25,688146,中船特气,1.83,15.91,459.99,2025年2季度股票投资明细
26,688549,中巨芯,1.82,59.2,458.19,2025年2季度股票投资明细
27,688535,华海诚科,1.65,4.85,416.87,2025年2季度股票投资明细
28,688432,有研硅,1.64,37.49,413.93,2025年2季度股票投资明细
29,688584,上海合晶,1.42,20.0,357.57,2025年2季度股票投资明细
30,688233,神工股份,1.29,10.24,325.2,2025年2季度股票投资明细
31,688661,和林微纳,1.2,7.61,302.56,2025年2季度股票投资明细
32,688605,先锋精科,1.01,4.05,254.04,2025年2季度股票投资明细
33,688720,艾森股份,0.9,5.3,226.68,2025年2季度股票投资明细
34,688001,华兴源创,0.89,8.92,225.48,2025年2季度股票投资明细
35,688478,晶升股份,0.84,6.93,212.07,2025年2季度股票投资明细
36,688383,新益昌,0.82,4.08,207.67,2025年2季度股票投资明细
37,688721,龙图光罩,0.48,2.67,120.37,2025年2季度股票投资明细
38,688419,耐科装备,0.36,2.46,91.72,2025年2季度股票投资明细
39,688355,明志科技,0.35,4.96,87.19,2025年2季度股票投资明细
40,688530,欧莱新材,0.31,4.81,79.21,2025年2季度股票投资明细
41,688775,影石创新,0.01,0.02,2.57,2025年2季度股票投资明细
42,603049,中策橡胶,0.0,0.01,0.48,2025年2季度股票投资明细
43,603400,华之杰,0.0,0.01,0.25,2025年2季度股票投资明细
44,603382,海阳科技,0.0,0.01,0.24,2025年2季度股票投资明细
45,688012,中微公司,10.82,100.94,30179.51,2025年3季度股票投资明细
46,688120,华海清科,10.26,173.27,28623.63,2025年3季度股票投资明细
47,688072,拓荆科技,9.87,105.8,27526.06,2025年3季度股票投资明细
48,688126,沪硅产业,9.09,982.82,25356.69,2025年3季度股票投资明细
49,688019,安集科技,7.3,89.16,20366.66,2025年3季度股票投资明细
50,688361,中科飞测,7.06,169.84,19706.09,2025年3季度股票投资明细
51,688037,芯源微,6.52,122.0,18178.48,2025年3季度股票投资明细
52,688082,盛美上海,4.83,66.77,13475.17,2025年3季度股票投资明细
53,688200,华峰测控,4.58,61.39,12787.08,2025年3季度股票投资明细
54,688234,天岳先进,3.82,129.83,10666.45,2025年3季度股票投资明细
55,688549,中巨芯,1.59,446.19,4426.21,2025年3季度股票投资明细
56,688233,神工股份,1.4,77.1,3914.49,2025年3季度股票投资明细
57,688432,有研硅,1.39,283.64,3871.69,2025年3季度股票投资明细
58,688605,先锋精科,0.81,30.63,2273.48,2025年3季度股票投资明细
59,688721,龙图光罩,0.39,20.2,1086.82,2025年3季度股票投资明细
60,688419,耐科装备,0.29,25.81,815.05,2025年3季度股票投资明细
